director,actor1Name,actor2Name,actor3Name
"James Cameron","CCH Pounder","Joel David Moore","Wes Studi"
"Gore Verbinski","Johnny Depp","Orlando Bloom","Jack Davenport"
"Sam Mendes","Christoph Waltz","Rory Kinnear","Stephanie Sigman"
"Christopher Nolan","Tom Hardy","Christian Bale","Joseph Gordon-Levitt"
"Doug Walker","Doug Walker","Rob Walker",
"Andrew Stanton","Daryl Sabara","Samantha Morton","Polly Walker"
"Sam Raimi","J.K. Simmons","James Franco","Kirsten Dunst"
"Nathan Greno","Brad Garrett","Donna Murphy","M.C. Gainey"
"Joss Whedon","Chris Hemsworth","Robert Downey Jr.","Scarlett Johansson"
"David Yates","Alan Rickman","Daniel Radcliffe","Rupert Grint"
"Zack Snyder","Henry Cavill","Lauren Cohan","Alan D. Purwin"
"Bryan Singer","Kevin Spacey","Marlon Brando","Frank Langella"
"Marc Forster","Giancarlo Giannini","Mathieu Amalric","Rory Kinnear"
"Gore Verbinski","Johnny Depp","Orlando Bloom","Jack Davenport"
"Gore Verbinski","Johnny Depp","Ruth Wilson","Tom Wilkinson"
"Zack Snyder","Henry Cavill","Christopher Meloni","Harry Lennix"
"Andrew Adamson","Peter Dinklage","Pierfrancesco Favino","Damián Alcázar"
"Joss Whedon","Chris Hemsworth","Robert Downey Jr.","Scarlett Johansson"
"Rob Marshall","Johnny Depp","Sam Claflin","Stephen Graham"
"Barry Sonnenfeld","Will Smith","Michael Stuhlbarg","Nicole Scherzinger"
"Peter Jackson","Aidan Turner","Adam Brown","James Nesbitt"
"Marc Webb","Emma Stone","Andrew Garfield","Chris Zylka"
"Ridley Scott","Mark Addy","William Hurt","Scott Grimes"
"Peter Jackson","Aidan Turner","Adam Brown","James Nesbitt"
"Chris Weitz","Christopher Lee","Eva Green","Kristin Scott Thomas"
"Peter Jackson","Naomi Watts","Thomas Kretschmann","Evan Parke"
"James Cameron","Leonardo DiCaprio","Kate Winslet","Gloria Stuart"
"Anthony Russo","Robert Downey Jr.","Scarlett Johansson","Chris Evans"
"Peter Berg","Liam Neeson","Alexander Skarsgård","Tadanobu Asano"
"Colin Trevorrow","Bryce Dallas Howard","Judy Greer","Omar Sy"
"Sam Mendes","Albert Finney","Helen McCrory","Rory Kinnear"
"Sam Raimi","J.K. Simmons","James Franco","Kirsten Dunst"
"Shane Black","Robert Downey Jr.","Jon Favreau","Don Cheadle"
"Tim Burton","Johnny Depp","Alan Rickman","Anne Hathaway"
"Brett Ratner","Hugh Jackman","Kelsey Grammer","Daniel Cudmore"
"Dan Scanlon","Steve Buscemi","Tyler Labine","Sean Hayes"
"Michael Bay","Glenn Morshower","Kevin Dunn","Ramon Rodriguez"
"Michael Bay","Bingbing Li","Sophia Myles","Kelsey Grammer"
"Sam Raimi","Tim Holmes","Mila Kunis","James Franco"
"Marc Webb","Emma Stone","Andrew Garfield","B.J. Novak"
"Joseph Kosinski","Jeff Bridges","Olivia Wilde","James Frain"
"John Lasseter","Joe Mantegna","Thomas Kretschmann","Eddie Izzard"
"Martin Campbell","Ryan Reynolds","Temuera Morrison","Taika Waititi"
"Lee Unkrich","Tom Hanks","John Ratzenberger","Don Rickles"
McG,"Christian Bale","Bryce Dallas Howard",Common
"James Wan","Jason Statham","Paul Walker","Vin Diesel"
"Marc Forster","Peter Capaldi","Brad Pitt","Mireille Enos"
"Bryan Singer","Jennifer Lawrence","Peter Dinklage","Hugh Jackman"
"J.J. Abrams","Benedict Cumberbatch","Bruce Greenwood","Noel Clarke"
"Bryan Singer","Eddie Marsan","Ewen Bremner","Ralph Brown"
"Baz Luhrmann","Leonardo DiCaprio","Elizabeth Debicki","Steve Bisley"
"Mike Newell","Jake Gyllenhaal","Richard Coyle","Reece Ritchie"
"Guillermo del Toro","Charlie Hunnam","Clifton Collins Jr.","Larry Joe Campbell"
"Michael Bay","Glenn Morshower","Lester Speight","Kevin Dunn"
"Steven Spielberg","Harrison Ford","Ray Winstone","Jim Broadbent"
"Peter Sohn","A.J. Buckley","Jack McGraw","Peter Sohn"
"Mark Andrews","Kelly Macdonald","John Ratzenberger","Julie Walters"
"Justin Lin","Sofia Boutella","Melissa Roxburgh","Lydia Wilson"
"Andrew Stanton","John Ratzenberger","Fred Willard","Jeff Garlin"
"Brett Ratner","Tzi Ma","Dana Ivey","Noémie Lenoir"
"Roland Emmerich","Oliver Platt","Liam James","Tom McCarthy"
"Robert Zemeckis","Robin Wright","Colin Firth","Gary Oldman"
"Lana Wachowski","Channing Tatum","Mila Kunis","Eddie Redmayne"
"David Yates","Christoph Waltz","Alexander Skarsgård","Casper Crump"
"Andrew Adamson","Jim Broadbent","Kiran Shah","Shane Rangi"
"Bryan Singer","Jennifer Lawrence","Michael Fassbender","Tye Sheridan"
"Christopher Nolan","Christian Bale","Heath Ledger","Morgan Freeman"
"Pete Docter","John Ratzenberger","Delroy Lindo","Jess Harnell"
"Rob Letterman","Amy Poehler","Rainn Wilson","Stephen Colbert"
"Jon Favreau","Robert Downey Jr.","Jeff Bridges","Jon Favreau"
"Martin Scorsese","Chloë Grace Moretz","Christopher Lee","Ray Winstone"
"Barry Sonnenfeld","Will Smith","Salma Hayek","Bai Ling"
"Rob Cohen","Jet Li","Brendan Fraser","Russell Wong"
"David Ayer","Will Smith","Robin Atkin Downes","Ike Barinholtz"
"Tom Shadyac","Jimmy Bennett","Morgan Freeman","Steve Carell"
