director,actor1Name,actor2Name,actor3Name,duration,contentRating,net_revenue,imdbScore
"James Cameron","CCH Pounder","Joel David Moore","Wes Studi",178,PG-13,523505847,7.9
"Gore Verbinski","Johnny Depp","Orlando Bloom","Jack Davenport",169,PG-13,9404152,7.1
"Sam Mendes","Christoph Waltz","Rory Kinnear","Stephanie Sigman",148,PG-13,-44925825,6.8
"Christopher Nolan","Tom Hardy","Christian Bale","Joseph Gordon-Levitt",164,PG-13,198130642,8.5
"Doug Walker","Doug Walker","Rob Walker",,0,,0,7.1
"Andrew Stanton","Daryl Sabara","Samantha Morton","Polly Walker",132,PG-13,-190641321,6.6
"Sam Raimi","J.K. Simmons","James Franco","Kirsten Dunst",156,PG-13,78530303,6.2
"Nathan Greno","Brad Garrett","Donna Murphy","M.C. Gainey",100,PG,-59192738,7.8
"Joss Whedon","Chris Hemsworth","Robert Downey Jr.","Scarlett Johansson",141,PG-13,208991599,7.5
"David Yates","Alan Rickman","Daniel Radcliffe","Rupert Grint",153,PG,51956980,7.5
"Zack Snyder","Henry Cavill","Lauren Cohan","Alan D. Purwin",183,PG-13,80249062,6.9
"Bryan Singer","Kevin Spacey","Marlon Brando","Frank Langella",169,PG-13,-8930592,6.1
"Marc Forster","Giancarlo Giannini","Mathieu Amalric","Rory Kinnear",106,PG-13,-31631573,6.7
"Gore Verbinski","Johnny Depp","Orlando Bloom","Jack Davenport",151,PG-13,198032628,7.3
"Gore Verbinski","Johnny Depp","Ruth Wilson","Tom Wilkinson",150,PG-13,-125710090,6.5
"Zack Snyder","Henry Cavill","Christopher Meloni","Harry Lennix",143,PG-13,66021565,7.2
"Andrew Adamson","Peter Dinklage","Pierfrancesco Favino","Damián Alcázar",150,PG,-83385977,6.6
"Joss Whedon","Chris Hemsworth","Robert Downey Jr.","Scarlett Johansson",173,PG-13,403279547,8.1
"Rob Marshall","Johnny Depp","Sam Claflin","Stephen Graham",136,PG-13,-8936125,6.7
"Barry Sonnenfeld","Will Smith","Michael Stuhlbarg","Nicole Scherzinger",106,PG-13,-45979146,6.8
"Peter Jackson","Aidan Turner","Adam Brown","James Nesbitt",164,PG-13,5108370,7.5
"Marc Webb","Emma Stone","Andrew Garfield","Chris Zylka",153,PG-13,32030663,7
"Ridley Scott","Mark Addy","William Hurt","Scott Grimes",156,PG-13,-94780265,6.7
"Peter Jackson","Aidan Turner","Adam Brown","James Nesbitt",186,PG-13,33355354,7.9
"Chris Weitz","Christopher Lee","Eva Green","Kristin Scott Thomas",113,PG-13,-109916481,6.1
"Peter Jackson","Naomi Watts","Thomas Kretschmann","Evan Parke",201,PG-13,11051260,7.2
"James Cameron","Leonardo DiCaprio","Kate Winslet","Gloria Stuart",194,PG-13,458672302,7.7
"Anthony Russo","Robert Downey Jr.","Scarlett Johansson","Chris Evans",147,PG-13,157197282,8.2
"Peter Berg","Liam Neeson","Alexander Skarsgård","Tadanobu Asano",131,PG-13,-143826840,5.9
"Colin Trevorrow","Bryce Dallas Howard","Judy Greer","Omar Sy",124,PG-13,502177271,7
"Sam Mendes","Albert Finney","Helen McCrory","Rory Kinnear",143,PG-13,104360277,7.8
"Sam Raimi","J.K. Simmons","James Franco","Kirsten Dunst",135,PG-13,173377893,7.3
"Shane Black","Robert Downey Jr.","Jon Favreau","Don Cheadle",195,PG-13,208992272,7.2
"Tim Burton","Johnny Depp","Alan Rickman","Anne Hathaway",108,PG,134185206,6.5
"Brett Ratner","Hugh Jackman","Kelsey Grammer","Daniel Cudmore",104,PG-13,24360014,6.8
"Dan Scanlon","Steve Buscemi","Tyler Labine","Sean Hayes",104,G,68488329,7.3
"Michael Bay","Glenn Morshower","Kevin Dunn","Ramon Rodriguez",150,PG-13,202076689,6
"Michael Bay","Bingbing Li","Sophia Myles","Kelsey Grammer",165,PG-13,35428137,5.7
"Sam Raimi","Tim Holmes","Mila Kunis","James Franco",130,PG,19903076,6.4
"Marc Webb","Emma Stone","Andrew Garfield","B.J. Novak",142,PG-13,2853933,6.7
"Joseph Kosinski","Jeff Bridges","Olivia Wilde","James Frain",125,PG,2051787,6.8
"John Lasseter","Joe Mantegna","Thomas Kretschmann","Eddie Izzard",106,G,-8549125,6.3
"Martin Campbell","Ryan Reynolds","Temuera Morrison","Taika Waititi",123,PG-13,-83406809,5.6
"Lee Unkrich","Tom Hanks","John Ratzenberger","Don Rickles",103,G,214984497,8.3
McG,"Christian Bale","Bryce Dallas Howard",Common,118,PG-13,-74679997,6.6
"James Wan","Jason Statham","Paul Walker","Vin Diesel",140,PG-13,160034110,7.2
"Marc Forster","Peter Capaldi","Brad Pitt","Mireille Enos",123,PG-13,12351611,7
"Bryan Singer","Jennifer Lawrence","Peter Dinklage","Hugh Jackman",149,PG-13,33914986,8
"J.J. Abrams","Benedict Cumberbatch","Bruce Greenwood","Noel Clarke",132,PG-13,38756232,7.8
"Bryan Singer","Eddie Marsan","Ewen Bremner","Ralph Brown",114,PG-13,-129828140,6.3
"Baz Luhrmann","Leonardo DiCaprio","Elizabeth Debicki","Steve Bisley",143,PG-13,39812796,7.3
"Mike Newell","Jake Gyllenhaal","Richard Coyle","Reece Ritchie",116,PG-13,-109244357,6.6
"Guillermo del Toro","Charlie Hunnam","Clifton Collins Jr.","Larry Joe Campbell",131,PG-13,-88214518,7
"Michael Bay","Glenn Morshower","Lester Speight","Kevin Dunn",154,PG-13,157358779,6.3
"Steven Spielberg","Harrison Ford","Ray Winstone","Jim Broadbent",122,PG-13,132011114,6.2
"Peter Sohn","A.J. Buckley","Jack McGraw","Peter Sohn",93,PG,123070338,6.8
"Mark Andrews","Kelly Macdonald","John Ratzenberger","Julie Walters",93,PG,52282182,7.2
"Justin Lin","Sofia Boutella","Melissa Roxburgh","Lydia Wilson",122,PG-13,-54531374,7.5
"Andrew Stanton","John Ratzenberger","Fred Willard","Jeff Garlin",98,G,43806889,8.4
"Brett Ratner","Tzi Ma","Dana Ivey","Noémie Lenoir",91,PG-13,80850,6.2
"Roland Emmerich","Oliver Platt","Liam James","Tom McCarthy",158,PG-13,-33887833,5.8
"Robert Zemeckis","Robin Wright","Colin Firth","Gary Oldman",96,PG,-62149904,6.8
"Lana Wachowski","Channing Tatum","Mila Kunis","Eddie Redmayne",127,PG-13,-128624673,5.4
"David Yates","Christoph Waltz","Alexander Skarsgård","Casper Crump",110,PG-13,-55948241,6.6
"Andrew Adamson","Jim Broadbent","Kiran Shah","Shane Rangi",150,PG,111709845,6.9
"Bryan Singer","Jennifer Lawrence","Michael Fassbender","Tye Sheridan",144,PG-13,-23014913,7.3
"Christopher Nolan","Christian Bale","Heath Ledger","Morgan Freeman",152,PG-13,348316061,9
"Pete Docter","John Ratzenberger","Delroy Lindo","Jess Harnell",96,PG,117979556,8.3
"Rob Letterman","Amy Poehler","Rainn Wilson","Stephen Colbert",94,PG,23332128,6.5
"Jon Favreau","Robert Downey Jr.","Jeff Bridges","Jon Favreau",126,PG-13,178298180,7.9
"Martin Scorsese","Chloë Grace Moretz","Christopher Lee","Ray Winstone",126,PG,-96179906,7.5
"Barry Sonnenfeld","Will Smith","Salma Hayek","Bai Ling",106,PG-13,-56254592,4.8
"Rob Cohen","Jet Li","Brendan Fraser","Russell Wong",112,PG-13,-42823835,5.2
"David Ayer","Will Smith","Robin Atkin Downes","Ike Barinholtz",123,PG-13,-13912817,6.9
"Tom Shadyac","Jimmy Bennett","Morgan Freeman","Steve Carell",96,PG,-74710310,5.4
"Doug Liman","Tom Cruise","Lara Pulver","Noah Taylor",113,PG-13,-77810499,7.9
"Kevin Reynolds","Jeanne Tripplehorn","Rick Aviles","Zakes Mokae",176,PG-13,-86753780,6.1
"Stephen Sommers","Joseph Gordon-Levitt","Dennis Quaid","Leo Howard",118,PG-13,-24832370,5.8
"Pete Docter","Amy Poehler","Mindy Kaling","Phyllis Smith",95,PG,181454367,8.3
"Jon Favreau","Scarlett Johansson","Bill Murray","Garry Shandling",106,PG,187645141,7.8
"Jon Favreau","Robert Downey Jr.","Scarlett Johansson","Jon Favreau",124,PG-13,112057433,7
"Rupert Sanders","Chris Hemsworth","Kristen Stewart","Sam Claflin",132,PG-13,-14888185,6.1
"Robert Stromberg","Angelina Jolie Pitt","Sharlto Copley","Sam Riley",97,PG,61407328,7
"Matt Reeves","Gary Oldman","Judy Greer","Kodi Smit-McPhee",130,PG-13,38543795,7.6
"Roland Joffé","Tamsin Egerton","Alice Englert","Bipasha Basu",109,R,0,4.5
"Carl Rinsch","Keanu Reeves","Cary-Hiroyuki Tagawa","Jin Akanishi",128,PG-13,-136702695,6.3
"Anthony Russo","Scarlett Johansson","Chris Evans","Hayley Atwell",136,PG-13,89746958,7.8
"Mike Mitchell","Jon Hamm","Kathy Griffin","Mary Kay Place",93,PG,73371987,6.4
"Brad Bird","Judy Greer","Chris Bauer","Thomas Robinson",130,PG,-96582135,6.5
"Don Hall","Damon Wayans Jr.","Daniel Henney","Abraham Benrubi",102,PG,57487711,7.9
"Rich Moore","Jack McBrayer","Sarah Silverman","Joe Lo Truglio",101,PG,24412677,7.8
"Robert Zemeckis","Tom Hanks","Eddie Deezen","Peter Scolari",100,G,-164334574,6.6
"Roland Emmerich","Vivica A. Fox","Sela Ward","Judd Hirsch",120,PG-13,-62684455,5.5
"Dean DeBlois","Gerard Butler","America Ferrera","Craig Ferguson",98,PG,52387997,8.2
"Jonathan Mostow","Nick Stahl","M.C. Gainey","Carolyn Hennesy",109,R,-49649808,6.4
"James Gunn","Bradley Cooper","Vin Diesel","Djimon Hounsou",121,PG-13,163130696,8.1
"Christopher Nolan","Matthew McConaughey","Anne Hathaway","Mackenzie Foy",169,PG-13,22991439,8.6
"Christopher Nolan","Leonardo DiCaprio","Tom Hardy","Joseph Gordon-Levitt",148,PG-13,132568851,8.8
"Hideaki Anno","Mark Chinnery","Shin'ya Tsukamoto","Atsuko Maeda",120,,0,8.2
"Peter Jackson","Aidan Turner","Adam Brown","James Nesbitt",182,PG-13,123001229,7.9
"Rob Cohen","Paul Walker","Vin Diesel","Jordana Brewster",106,PG-13,106512310,6.7
"David Fincher","Brad Pitt","Jason Flemyng","Julia Ormond",166,PG-13,-22509198,7.8
"Matthew Vaughn","Jennifer Lawrence","Michael Fassbender","Oliver Platt",132,PG-13,-13594629,7.8
"Francis Lawrence","Jennifer Lawrence","Philip Seymour Hoffman","Josh Hutcherson",137,PG-13,121666058,6.6
"Jon Turteltaub","Nicolas Cage","Omar Benson Miller","Robert Capron",109,PG,-86856188,6.1
"Wolfgang Petersen","Jimmy Bennett","Mike Vogel","Andre Braugher",98,PG-13,-99344497,5.6
"James Bobin","Johnny Depp","Alan Rickman","Anne Hathaway",113,PG,-93153376,6.4
"Chris Miller","Justin Timberlake","Eric Idle","Rupert Everett",93,PG,160706665,6.1
"Duncan Jones","Dominic Cooper","Callum Rennie","Ruth Negga",123,PG-13,-113021005,7.3
"Alan Taylor","J.K. Simmons","Emilia Clarke","Matt Smith",126,PG-13,-65267965,6.6
"Michael Apted","Bruce Spence","Shane Rangi","Laura Brent",113,PG,-50616376,6.3
"Michael Bay","Jennifer Garner","Jaime King",Mako,184,PG-13,58539855,6.1
