tconst,rating,seasonNumber
tt0041038,7.9,1
tt0989125,8,1
tt0989125,8,0
tt0040051,8,3
tt0989125,8,2
tt0989125,8,2
tt0989125,8,3
tt0959862,6.9,1
tt0989125,8,3
tt0989125,8,4
tt0044284,8.9,2
tt0989125,8,4
tt0341798,7.9,0
tt0046643,8,1
tt0989125,8,5
tt0914702,7.9,3
tt0047745,8.1,1
tt0046637,8.5,2
tt0989125,8,6
tt0046587,7.2,2
tt0047768,7.4,1
tt0989125,8,6
tt0047702,8.3,1
tt0047702,8.3,1
tt0047768,7.4,1
tt0989125,8,6
tt0046593,8.6,1
tt0914702,7.9,1
tt0048893,8.5,1
tt0050013,7.2,1
tt0048893,8.5,1
tt0046593,8.6,4
tt0914702,7.9,3
tt0161126,8.2,2
tt0046637,8.5,3
tt0048893,8.5,1
tt0050013,7.2,1
tt0048893,8.5,3
tt0048893,8.5,2
tt0161126,8.2,3
tt0989125,8,9
tt0441950,8.5,4
tt0793361,8.6,1
tt0793361,8.6,1
tt0793361,8.6,1
tt0793361,8.6,1
tt0793361,8.6,1
tt0793361,8.6,1
tt1646046,8.6,1
tt0914702,7.9,4
tt0050013,7.2,2
tt0259792,8.6,0
tt0050013,7.2,2
tt0914702,7.9,3
tt0793361,8.6,2
tt0793361,8.6,2
tt0793361,8.6,2
tt0052511,5.1,1
tt0259792,8.6,0
tt0048893,8.5,4
tt0190181,8.5,1
tt0190181,8.5,1
tt0341798,7.9,4
tt0048893,8.5,4
tt0051312,8.4,2
tt0259792,8.6,0
tt0190181,8.5,1
tt0259792,8.6,0
tt0259792,8.6,0
tt0052511,5.1,1
tt0793361,8.6,3
tt0793361,8.6,3
tt0793361,8.6,3
tt0190181,8.5,2
tt0190181,8.5,2
tt0190181,8.5,2
tt0914702,7.9,4
tt0190181,8.5,3
tt0046593,8.6,8
tt0320048,8.1,1
tt0190181,8.5,2
tt0161126,8.2,4
tt0190181,8.5,2
tt0161126,8.2,4
tt0259792,8.6,0
tt0190181,8.5,1
tt0914702,7.9,6
tt0259792,8.6,0
tt0990935,9.1,2
tt0161126,8.2,4
tt0914702,7.9,7
tt0161126,8.2,4
tt0793361,8.6,4
tt0793361,8.6,4
tt0793361,8.6,5
tt0054532,7.8,1
tt0046593,8.6,10
tt0259792,8.6,0
tt0046593,8.6,9
tt0054513,7.4,2
tt0046593,8.6,9
tt0259792,8.6,0
tt0046593,8.6,9
tt0055685,6.9,1
tt0190181,8.5,3
tt0055685,6.9,1
tt0259792,8.6,0
tt0046593,8.6,8
tt0990935,9.1,4
tt0046593,8.6,9
tt0914702,7.9,4
tt0190181,8.5,3
tt0793361,8.6,5
tt0403808,7.9,2
tt0055663,8.5,0
tt0190181,8.5,3
tt0190181,8.5,4
tt0190181,8.5,5
tt0259792,8.6,0
tt0190181,8.5,4
tt0046593,8.6,10
tt0046593,8.6,9
tt0046593,8.6,9
tt0969924,7.2,3
tt0190181,8.5,4
tt0190181,8.5,4
tt0793361,8.6,6
tt0242203,8.7,3
tt0046593,8.6,10
tt0259792,8.6,0
tt0190181,8.5,5
tt0046593,8.6,10
tt0259792,8.6,0
tt1384817,6,1
tt1314953,8.3,1
tt0969924,7.2,4
tt0259792,8.6,0
tt0190181,8.5,5
tt0056754,8,1
tt0217931,6.4,0
tt0793361,8.6,7
tt0793361,8.6,7
tt0046593,8.6,11
tt0190181,8.5,5
tt0058853,7.2,1
tt0259792,8.6,0
tt0212699,7.7,1
tt0212698,8,3
tt0058853,7.2,1
tt0046593,8.6,12
tt0058853,7.2,1
tt0058853,7.2,1
tt0058853,7.2,1
tt0212698,8,3
tt0058853,7.2,1
tt0058836,7.9,1
tt0190181,8.5,6
tt0212698,8,3
tt0212699,7.7,1
tt0058853,7.2,1
tt0058836,7.9,1
tt0058853,7.2,1
tt0212699,7.7,1
tt0165593,7.7,1
tt0165593,7.7,1
tt0969924,7.2,4
tt0212698,8,3
tt0212699,7.7,1
tt0212699,7.7,1
tt0212698,8,3
tt0058836,7.9,1
tt0212698,8,3
tt0212699,7.7,1
tt0165593,7.7,1
tt0212699,7.7,1
tt0058853,7.2,1
tt0212698,8,3
tt0058853,7.2,1
tt0212698,8,3
tt0793361,8.6,7
tt0058853,7.2,1
tt0060028,8.4,1
tt0190181,8.5,6
tt0058836,7.9,1
tt0058853,7.2,1
tt0058853,7.2,1
tt0212698,8,2
tt1157603,8.6,1
tt0058853,7.2,1
tt0058853,7.2,1
tt0212698,8,4
tt0058853,7.2,1
tt0058853,7.2,1
tt0058853,7.2,1
tt0058853,7.2,1
tt0233023,8,1
tt0212699,7.7,1
tt0212699,7.7,1
tt0212698,8,3
tt0058853,7.2,1
tt0165593,7.7,2
tt0233023,8,1
tt0165593,7.7,2
tt0165593,7.7,1
tt0212698,8,3
tt1711895,7.4,1
tt0212699,7.7,1
tt0212699,7.7,1
tt0212699,7.7,1
tt0058836,7.9,2
tt0212698,8,4
tt0058836,7.9,2
tt0212698,8,3
tt0212698,8,3
tt0212699,7.7,1
tt0058836,7.9,2
tt0212698,8,3
tt0165593,7.7,1
tt0058853,7.2,1
tt0058853,7.2,1
tt0815352,8.5,0
tt0058853,7.2,1
tt0058836,7.9,2
tt0058853,7.2,1
tt0190181,8.5,5
tt0165593,7.7,2
tt0212698,8,3
tt0058853,7.2,1
tt0046593,8.6,13
tt0212699,7.7,2
tt0212698,8,3
tt0212699,7.7,2
tt0212698,8,3
tt0212698,8,3
tt0165593,7.7,4
tt0058853,7.2,1
tt0058853,7.2,1
tt0793361,8.6,7
tt0060028,8.4,1
tt0058853,7.2,1
tt0058853,7.2,1
tt0058836,7.9,2
tt0212699,7.7,2
tt0212698,8,3
tt1157603,8.6,1
tt0212698,8,3
tt0058853,7.2,1
tt0058836,7.9,2
tt0058853,7.2,1
tt0058853,7.2,1
tt0056792,8.8,5
tt0797756,8.3,1
tt0212699,7.7,2
tt0797756,8.3,1
tt0212699,7.7,2
tt0212699,7.7,2
tt0046593,8.6,14
tt0212698,8,5
tt0212698,8,4
tt0200358,8.1,1
tt0058853,7.2,1
tt0058853,7.2,1
tt0212699,7.7,2
tt0058853,7.2,1
tt0212698,8,4
tt0212698,8,4
tt0165593,7.7,3
tt0058853,7.2,1
tt0212698,8,4
tt0212698,8,5
tt0212699,7.7,2
tt0212698,8,5
tt0212699,7.7,3
tt0398430,7.1,1
tt0161126,8.2,7
tt0212698,8,5
tt0058853,7.2,1
tt0165593,7.7,3
tt0058853,7.2,1
tt0212699,7.7,2
tt0058853,7.2,1
tt0058853,7.2,1
tt0165593,7.7,3
tt0212698,8,5
tt0058853,7.2,1
tt0161126,8.2,8
tt0212699,7.7,2
tt0398430,7.1,1
tt0165593,7.7,3
tt0212698,8,4
tt0212698,8,4
tt0212699,7.7,2
tt0212699,7.7,2
tt0212699,7.7,2
tt1157603,8.6,1
tt0212699,7.7,2
tt0058853,7.2,1
tt0298665,7,1
tt0212699,7.7,4
tt0058853,7.2,1
tt0058853,7.2,1
tt0212699,7.7,4
tt0298665,7,1
tt0062599,8.5,1
tt0058853,7.2,1
tt0212699,7.7,4
tt0058853,7.2,1
tt0212699,7.7,4
tt0212698,8,5
tt0165593,7.7,3
tt0058853,7.2,1
tt0212698,8,5
tt0212698,8,5
tt0212699,7.7,4
tt0062568,7.4,1
tt0165593,7.7,3
tt0212698,8,5
tt0260607,8.2,0
tt0058853,7.2,1
tt0212698,8,5
tt0165593,7.7,4
tt0165593,7.7,3
tt0212699,7.7,4
tt0914702,7.9,9
tt0212698,8,5
tt0212698,8,5
tt0212699,7.7,3
tt0058853,7.2,1
tt0058853,7.2,1
tt0212699,7.7,4
tt0200358,8.1,1
tt0212698,8,5
tt0914702,7.9,12
tt0212699,7.7,3
tt0212699,7.7,3
tt0797756,8.3,1
tt0200358,8.1,2
tt0058853,7.2,1
tt0165593,7.7,4
tt0793361,8.6,7
tt0212699,7.7,3
tt0212698,8,5
tt0165593,7.7,3
tt0168387,7.8,2
tt0212698,8,5
tt0058853,7.2,1
tt1157603,8.6,1
tt0398430,7.1,2
tt0165593,7.7,4
tt0212698,8,5
tt0958966,8.1,1
tt0958966,8.1,1
tt0058853,7.2,1
tt0058853,7.2,1
tt0958966,8.1,1
tt0058853,7.2,1
tt0058853,7.2,1
tt0062578,7.1,2
tt0212699,7.7,4
tt0958966,8.1,1
tt0063875,7.3,1
tt0958966,8.1,1
tt0806910,7.2,1
tt0398430,7.1,3
tt0797756,8.3,1
tt0797756,8.3,1
tt0058836,7.9,3
tt0212699,7.7,5
tt0058836,7.9,3
tt0058853,7.2,1
tt0165593,7.7,5
tt0212699,7.7,4
tt0165593,7.7,4
tt0065303,8.2,1
tt0058853,7.2,1
tt0165593,7.7,4
tt0958966,8.1,1
tt0958966,8.1,1
tt0063927,7.2,1
tt0065317,7,1
tt0297621,6.2,1
tt0958966,8.1,1
tt0046593,8.6,16
tt0065327,8,1
tt0398430,7.1,3
tt0212699,7.7,4
tt0212699,7.7,4
tt0297621,6.2,1
tt0058853,7.2,1
tt0058836,7.9,3
tt0058853,7.2,1
tt0212699,7.7,5
tt1245421,8.2,0
tt0058836,7.9,3
tt0242211,8.7,8
tt0063955,8.1,1
