parentTconst,seasonNumber
tt0041038,1
tt0989125,1
tt0989125,0
tt0040051,3
tt0989125,2
tt0989125,2
tt0989125,3
tt0959862,1
tt0989125,3
tt0989125,4
tt0044284,2
tt0989125,4
tt0341798,0
tt0046643,1
tt0989125,5
tt0914702,3
tt0047745,1
tt0046637,2
tt0989125,6
tt0046587,2
tt0047768,1
tt0989125,6
tt0047702,1
tt0047702,1
tt0047768,1
tt0989125,6
tt0046593,1
tt0914702,1
tt0048893,1
tt0050013,1
tt0048893,1
tt0046593,4
tt0914702,3
tt4280482,1
tt0161126,2
tt0046637,3
tt0048893,1
tt0050013,1
tt0048893,3
tt0048893,2
tt0161126,3
tt0989125,9
tt0441950,4
tt0793361,1
tt0793361,1
tt0793361,1
tt0793361,1
tt0793361,1
tt0793361,1
tt1646046,1
tt0914702,4
tt0050013,2
tt4280486,1
tt0259792,0
tt0050013,2
tt0914702,3
tt4280486,1
tt0793361,2
tt0793361,2
tt0793361,2
tt1845727,1
tt0052511,1
tt0259792,0
tt0048893,4
tt0190181,1
tt0190181,1
tt0341798,4
tt0048893,4
tt0348926,1
tt0051312,2
tt0259792,0
tt0190181,1
tt0259792,0
tt0259792,0
tt0052511,1
tt0793361,3
tt0793361,3
tt0793361,3
tt0190181,2
tt0190181,2
tt0190181,2
tt0914702,4
tt0190181,3
tt0046593,8
tt0320048,1
tt0190181,2
tt0161126,4
tt0190181,2
tt0161126,4
tt0259792,0
tt0190181,1
tt0914702,6
tt0259792,0
tt0990935,2
tt0161126,4
tt0914702,7
tt0161126,4
tt0793361,4
tt0793361,4
tt0793361,5
tt0054532,1
tt0046593,10
tt0259792,0
tt0046593,9
tt0054513,2
tt0046593,9
tt0259792,0
tt0046593,9
tt0055685,1
tt0190181,3
tt0055685,1
tt0259792,0
tt0046593,8
tt0990935,4
tt2199914,1
tt0046593,9
tt0914702,4
tt0190181,3
tt0793361,5
tt0403808,2
tt0055663,0
tt0190181,3
tt0190181,4
tt0190181,5
tt0259792,0
tt0190181,4
tt0046593,10
tt0046593,9
tt0046593,9
tt0969924,3
tt0190181,4
tt0190181,4
tt0793361,6
tt0242203,3
tt0046593,10
tt0259792,0
tt0190181,5
tt0046593,10
tt0259792,0
tt1384817,1
tt1314953,1
tt0969924,4
tt0497975,1
tt0259792,0
tt0190181,5
tt0056754,1
tt0217931,0
tt0793361,7
tt0793361,7
tt0046593,11
tt0190181,5
tt0058853,1
tt0259792,0
tt0969640,1
tt0212699,1
tt0212698,3
tt0058853,1
tt0405611,1
tt0046593,12
tt0058853,1
tt0969640,1
tt0058853,1
tt0058853,1
tt0212698,3
tt0969640,1
tt0058853,1
tt0058836,1
tt0969640,1
tt0190181,6
tt0212698,3
tt0212699,1
tt0058853,1
tt0058836,1
tt0058853,1
tt0212699,1
tt0405611,1
tt0165593,1
tt0969640,1
tt0165593,1
tt0969924,4
tt0212698,3
tt0212699,1
tt0212699,1
tt0212698,3
tt0058836,1
tt0212698,3
tt0969640,1
tt0212699,1
tt0165593,1
tt0212699,1
tt0058853,1
tt0212698,3
tt0058853,1
tt0212698,3
tt0793361,7
tt0058853,1
tt0060028,1
tt0190181,6
tt0058836,1
tt0058853,1
tt0058853,1
tt0212698,2
tt1157603,1
tt0058853,1
tt0058853,1
tt0212698,4
tt0058853,1
tt0058853,1
tt0058853,1
tt0058853,1
tt0233023,1
tt0212699,1
tt0212699,1
tt0212698,3
tt0058853,1
tt0165593,2
tt0233023,1
tt0165593,2
tt0165593,1
tt0212698,3
tt1711895,1
tt0212699,1
tt0212699,1
tt0212699,1
tt0058836,2
tt0212698,4
tt0058836,2
tt0212698,3
tt0212698,3
tt0212699,1
tt0058836,2
tt0212698,3
tt0165593,1
tt0058853,1
tt0058853,1
tt0815352,0
tt0861682,1
tt0058853,1
tt0058836,2
tt0058853,1
tt0190181,5
