duration,imdbScore
178,7.9
169,7.1
148,6.8
164,8.5
132,6.6
156,6.2
100,7.8
141,7.5
153,7.5
183,6.9
169,6.1
106,6.7
151,7.3
150,6.5
143,7.2
150,6.6
173,8.1
136,6.7
106,6.8
164,7.5
153,7
156,6.7
186,7.9
113,6.1
201,7.2
194,7.7
147,8.2
131,5.9
124,7
143,7.8
135,7.3
195,7.2
108,6.5
104,6.8
104,7.3
150,6
165,5.7
130,6.4
142,6.7
125,6.8
106,6.3
123,5.6
103,8.3
118,6.6
140,7.2
123,7
149,8
132,7.8
114,6.3
143,7.3
116,6.6
131,7
154,6.3
122,6.2
93,6.8
93,7.2
122,7.5
98,8.4
91,6.2
158,5.8
96,6.8
127,5.4
110,6.6
150,6.9
144,7.3
152,9
96,8.3
94,6.5
126,7.9
126,7.5
106,4.8
112,5.2
123,6.9
96,5.4
113,7.9
176,6.1
118,5.8
95,8.3
106,7.8
124,7
132,6.1
97,7
130,7.6
109,4.5
128,6.3
136,7.8
93,6.4
130,6.5
102,7.9
101,7.8
100,6.6
120,5.5
98,8.2
109,6.4
121,8.1
169,8.6
148,8.8
120,8.2
182,7.9
106,6.7
166,7.8
132,7.8
137,6.6
109,6.1
98,5.6
113,6.4
93,6.1
123,7.3
126,6.6
113,6.3
184,6.1
144,7.1
206,5.5
138,7.5
157,7.6
102,6.4
104,7.2
115,6.7
111,8
128,8.3
89,6.7
105,5.9
119,6.7
129,6.7
102,7.6
138,7.2
112,7.1
120,8.1
146,6.7
115,7
96,6.9
88,5.1
99,5.8
113,6.2
131,7.4
119,5.8
110,6.6
91,6.2
90,7.3
103,4.2
124,6.9
131,6.4
88,5.4
85,6.7
111,5.8
92,6.9
196,7.2
93,6.9
133,6.1
116,5.5
153,6.6
88,6.1
115,6.3
95,7.2
133,7.4
97,7.3
90,6.1
154,7.7
150,6.1
127,8
121,7.3
102,7.9
126,5.5
121,5
215,7.7
127,6.6
138,5.7
122,5.8
124,6
106,6.4
124,6.9
128,6.4
138,7.4
115,5.5
100,5.9
135,6.8
60,7.5
117,6.8
156,8.1
96,6.5
107,7.2
92,6.7
115,8.1
92,7.6
117,7.4
146,7.6
115,5.5
94,6.7
116,6.5
147,6.6
90,6.7
101,6.4
138,5.8
107,7.4
142,7.8
165,6.6
100,4.9
82,6.5
98,6.2
95,7.3
159,7.5
96,5.6
120,8.2
143,8.1
123,6.7
174,6.6
101,6.4
134,7.5
132,7.3
129,7.5
106,5.8
113,7.5
102,6.6
135,6.7
125,3.7
110,6
124,6.4
123,6.1
130,6.4
92,5.6
127,8
123,5.2
123,7.1
107,4.8
124,7
77,5.4
109,6.6
134,6.7
117,6.2
135,6.1
121,5.3
117,6.3
124,7
140,7.6
142,6.7
92,8.1
138,6.7
136,6.5
98,7.3
116,5.1
153,6
120,6.1
101,5.9
91,7.8
108,5.8
112,6.3
100,4.3
108,6.4
114,6.1
119,6.5
142,7.1
125,6.4
126,6.5
119,6.3
170,7.5
85,4.9
119,5.8
60,7.6
102,6.2
103,5.5
76,5.4
120,5.8
127,7.1
105,5.4
121,3.7
114,6.7
129,7.2
171,8.8
120,5.8
165,6.8
82,3.8
115,7.1
194,7.2
84,5.9
97,7.1
151,8.1
22,7.2
136,6.9
104,4.4
127,6.5
171,8.5
145,7.7
174,7.4
144,8
119,5.7
153,8.5
140,7
176,7.8
141,7.2
106,6.4
98,5.5
116,6.7
115,6.1
165,8.5
91,6.9
78,7.3
103,6.7
131,6.9
104,5.1
101,6.8
111,5.8
102,6.7
103,6
121,5.7
143,8
240,8.2
121,5.4
129,7.2
172,7.5
101,7
87,3.3
101,6
95,7.1
102,5.4
131,6.1
114,5.3
94,2.2
122,7
95,3.8
115,6.9
88,7.2
110,7.3
130,6.3
216,7.5
146,7.6
85,6.8
93,5.2
152,7.7
85,6.2
126,7.7
146,4.3
89,6.9
88,6.6
105,7
135,6.7
100,8.2
192,8.9
172,8.7
102,5.5
100,5.7
119,6.3
92,5.9
105,7.6
107,6.6
101,5.3
137,6
115,8
124,5.6
118,5.9
98,7.3
82,7.9
98,6.8
90,6.6
130,6.6
90,7
94,7
114,7.3
94,5.5
151,8.5
88,7.5
121,7
158,7.8
128,7.6
128,7.6
141,6.1
95,6.8
92,5
121,7.1
113,5.5
106,5.6
146,7.1
88,4.9
150,7.4
119,5.7
128,6.4
106,5.9
117,5.5
129,6.9
116,6.2
114,7
114,5.6
96,7
132,6.8
104,5.4
111,6.1
138,6.7
100,4.3
129,6.9
144,8
110,4.4
140,7.3
113,6.3
106,6.7
143,7.7
108,6.5
108,7.8
124,6.4
116,7.8
110,5.8
91,7.1
107,7.1
44,8.6
115,6.8
100,4.8
104,6.2
138,6.9
140,7.3
120,6.6
122,6.9
83,6.2
139,6.7
131,7.6
104,6.7
130,6.2
145,7.3
104,6
97,7.1
178,7.1
108,5.5
123,7.8
106,5.6
112,7.5
135,5.4
109,4.3
86,4.9
95,7.1
107,6.4
130,6.9
82,4.3
88,6.1
120,7
162,7.7
123,5.9
101,6.7
113,6.5
110,7.1
142,7.3
102,6.5
126,7
83,6.8
85,7.2
97,6.4
120,6.1
116,6.7
113,6.4
87,4.4
101,5.4
110,6.5
128,6.7
138,8.1
88,5.6
91,6.3
138,7.3
99,6.1
117,7.7
117,6.4
54,8.8
123,6.8
118,6.6
154,7.2
118,6.9
90,5.2
113,4.9
88,6.3
93,5.6
104,5.5
135,6.7
134,7.6
98,5.7
80,4.6
83,7
102,5.2
130,5.1
129,6.6
117,7
89,6.7
25,7.6
74,7.3
96,5.9
114,5.6
99,6.5
129,5.9
113,7
90,5.3
118,5.9
106,6.3
81,6.4
117,6.9
89,6.3
145,7.3
114,5.8
87,5.2
119,2.4
91,5.7
118,5.8
116,5.6
177,6
97,5.8
106,6
106,5.7
94,6
104,7.8
102,4.2
105,5.6
89,4.4
135,8.2
73,8.5
94,5.8
95,6.5
124,7.2
136,6.7
91,3.4
107,5.9
108,7.8
99,5.9
92,4.1
87,6.8
110,5.8
98,7.5
154,6.9
129,6.5
86,6.9
109,7.9
104,7.4
110,6.7
136,7.4
115,6.9
99,6.8
117,6.7
125,5.1
110,4.1
125,7.3
102,6
128,7.3
43,7.5
100,5.4
124,5.9
102,7.1
90,6
130,6.5
45,8.3
118,5.7
163,7.6
142,6.6
100,5.4
116,7.3
131,6.5
91,6.6
123,6.6
134,5.9
148,6.7
110,6.1
113,6.6
94,6.6
116,5.3
99,6
84,6
93,4.7
113,6.1
106,7.2
91,6.4
128,6.1
98,5.9
134,6
97,6.3
112,5.6
153,6.4
110,7.1
122,6.6
87,4.6
178,8.4
125,7.1
87,7.4
152,6.9
116,4.5
109,7.1
108,6.5
85,5.3
106,6.7
93,7.2
117,7.2
116,5.5
132,5.8
92,6
139,6.6
